,Fold1,Fold2,Fold3,Fold4,Fold5,Mean,Std
GenHlth,0.7437,0.6452,0.6318,0.6688,0.6712,0.6722,0.0433
HighBP,0.4932,0.5622,0.5549,0.5627,0.5621,0.547,0.0302
BMI,0.4447,0.4371,0.4193,0.4288,0.4229,0.4306,0.0104
Age,0.4287,0.4203,0.4249,0.4291,0.4182,0.4242,0.0049
HighChol,0.3098,0.3111,0.307,0.3135,0.3081,0.3099,0.0026
Income,0.1537,0.1444,0.1567,0.1452,0.1447,0.1489,0.0058
Sex,0.1462,0.1288,0.1411,0.1444,0.1374,0.1396,0.0069
MentHlth,0.0924,0.0821,0.0849,0.0851,0.0959,0.0881,0.0058
CholCheck,0.0853,0.0798,0.0883,0.0985,0.0828,0.0869,0.0072
HeartDiseaseorAttack,0.0713,0.071,0.0724,0.0725,0.0723,0.0719,0.0007
HvyAlcoholConsump,0.0683,0.0713,0.0705,0.0746,0.063,0.0695,0.0043
DiffWalk,0.0546,0.0547,0.0521,0.0563,0.0578,0.0551,0.0021
Education,0.0562,0.0523,0.052,0.0621,0.0499,0.0545,0.0048
PhysHlth,0.0467,0.0451,0.0491,0.048,0.0419,0.0462,0.0028
Fruits,0.0414,0.0296,0.0352,0.0348,0.0422,0.0366,0.0052
Smoker,0.0258,0.0278,0.0288,0.0271,0.0268,0.0273,0.0011
PhysActivity,0.02,0.0272,0.0205,0.0233,0.0239,0.023,0.0029
Stroke,0.0208,0.0225,0.0247,0.0231,0.0221,0.0226,0.0014
Veggies,0.0175,0.0202,0.0162,0.0174,0.0184,0.0179,0.0015
AnyHealthcare,0.0144,0.0102,0.0104,0.0122,0.0153,0.0125,0.0023
NoDocbcCost,0.0105,0.014,0.0116,0.011,0.011,0.0116,0.0014
