Threshold,Precision,Recall,F1,Positive_Pred_Rate
0.1,0.2658,0.8706,0.4073,0.4563
0.15,0.307,0.7814,0.4408,0.3547
0.2,0.3489,0.6697,0.4588,0.2674
0.25,0.3798,0.6002,0.4652,0.2202
0.3,0.4327,0.4514,0.4419,0.1453
0.35,0.4663,0.3614,0.4072,0.108
0.4,0.4982,0.2543,0.3368,0.0711
0.45,0.5252,0.1942,0.2836,0.0515
0.5,0.5624,0.1338,0.2162,0.0332
0.55,0.5873,0.1103,0.1858,0.0262
0.6,0.6216,0.0546,0.1004,0.0122
0.65,0.6438,0.0279,0.0534,0.006
0.7,0.652,0.0252,0.0485,0.0054
0.75,0.7069,0.0116,0.0228,0.0023
0.8,0.7059,0.0068,0.0135,0.0013
0.85,0.68,0.0024,0.0048,0.0005
0.9,0.0,0.0,0.0,0.0
